player,elo_global,elo_clay,elo_hard,elo_grass
Arnaldi M.,1602.3256064105003,1621.4552156121765,1596.139900761055,1422.2420731472866
Puerta M.,1601.802388076949,1654.7919891535535,1477.8575429734328,1411.4090709167117
Donaldson J.,1601.6107419029179,1471.793231148845,1591.8984961626397,1473.9883681154945
Johansson T.,1601.0475567260094,1456.9170866483705,1584.8351162451252,1597.9746839083095
Zemlja G.,1600.9467002047033,1524.009682126026,1517.342072433355,1533.381446741038
Carreno-Busta P.,1596.7923397128466,1566.6295576238444,1506.2201128995941,1455.3606604577806
Zeballos H.,1595.6984443522683,1568.876869608767,1527.789904216857,1357.7439819508934
Stricker D.,1594.2021796159952,1491.4984260412748,1583.6640652887274,1501.4041756894062
Kafelnikov Y.,1592.7444652502963,1582.9880613149664,1587.1018465320456,1587.694703642326
Isner J.,1591.658720237286,1650.1894934138613,1590.596495152597,1680.0454639045367
Seyboth Wild T.,1591.5007231619304,1551.2300451214965,1519.9707136510542,1509.6607752888012
Millman J.,1590.8212009949393,1482.959909078588,1580.5968318270309,1514.5129257476294
Moodie W.,1590.4542598903022,1459.639443608583,1589.379811374506,1506.778725800013
Sweeting R.,1590.0867424102464,1531.7530408243722,1512.723572767176,1477.603675586137
Cerundolo J.M.,1589.8608083655513,1537.9625450621586,1546.7400597902313,1479.9316090071588
Garin C.,1589.4388698887337,1581.3729871936441,1575.4764212245643,1580.4354342057413
Ferreira W.,1588.627145696993,1518.635049954844,1558.283818936684,1566.2015441091694
Ymer M.,1587.7526393469047,1506.153522290591,1565.2737039967024,1548.0169716587623
Royer V.,1587.624611142086,1478.9854024642264,1573.0007768955313,1515.0992461762128
Santoro F.,1587.46943548429,1401.6217818437583,1562.8932535097024,1663.6099122630926
Ramos A.,1587.403045718068,1582.4421939469269,1458.485121631834,1477.141121514373
Arthurs W.,1586.805982996717,1439.3831753118936,1552.5843976612146,1526.6878260065785
Hewitt L.,1585.5149362258858,1614.9553431646714,1630.406810666147,1667.0209961371381
Krajicek R.,1585.4977028807607,1512.3377708771566,1510.088750735527,1570.7308903313995
Vavassori A.,1585.0029172711618,1541.0948203386693,1540.1935495321657,1465.302825946464
Sock J.,1583.4818834578346,1580.7745472801432,1560.705063155932,1572.628434505467
Shevchenko A.,1580.506133674905,1533.0847344174895,1560.0624201922556,1434.3818366195476
Koepfer D.,1579.709996838029,1534.7940356252836,1589.4806660772072,1448.4950988295984
Roger-Vasselin E.,1578.8669705868601,1472.6203077571365,1587.2024809274926,1503.1673929407807
Fearnley J.,1578.7416389116972,1562.2036012656783,1512.3126701234619,1493.3027533198301
Davydenko N.,1578.7019127340168,1548.22576161055,1646.466609332445,1463.7785447312785
Harris L.,1578.6061473235097,1451.8701537872496,1575.5246799993752,1508.1515815764221
Kwon S.W.,1578.40917359042,1501.8760253691262,1575.513351663704,1463.9289485088696
Harrison R.,1578.0217975736755,1465.6873949086514,1580.9625335634514,1437.7496287031775
Murray A.,1577.6431785725963,1825.6447021846072,1611.3514035063206,1727.3351207039345
Van Rijthoven T.,1577.3054644608153,1500.0,1460.406764434669,1615.4702050778876
