player,elo_global,elo_clay,elo_hard,elo_grass
Eubanks C.,1552.374525518032,1474.6031053911502,1511.9707814869435,1562.9806762195499
Johnson S.,1552.2258214097985,1573.0968705037612,1517.022990063796,1616.2719074515608
Copil M.,1551.406317816352,1395.6277627395764,1585.6572123645142,1427.6388408016358
Lu Y.H.,1551.0334478026944,1417.2317549422196,1536.3202478728092,1569.5519282925702
Nishioka Y.,1550.5508086267657,1503.6603539080072,1549.6861174896574,1405.772907994777
Mantilla F.,1550.308229526362,1602.1254756319852,1443.2138222724038,1440.0657438986511
Ebden M.,1548.9254400153486,1370.3988605031504,1562.713234138119,1499.3076057186881
Costa A.,1548.871952471834,1570.5966313568001,1495.7759323856603,1464.7935225292786
Rusedski G.,1548.7150920891224,1425.25466086532,1587.9002584379573,1662.931712799054
Duckworth J.,1548.5435132631187,1408.106195719443,1523.2394116805788,1483.7556569093151
Kovalik J.,1548.2269081688773,1526.181070467313,1442.797165988506,1457.0636129934285
Spizzirri E.,1548.1225822583342,1500.0,1529.5932528802923,1485.3875503704687
Agamenone F.,1547.8672028990159,1524.439536218306,1500.0,1500.0
Edmund K.,1547.6669231280164,1548.2202473879818,1588.5418059883682,1522.2120614865917
Olivieri G.,1547.392963906334,1529.1722330568673,1500.0,1500.0
Bolt A.,1547.3524034718998,1500.0,1535.5030104446528,1399.4008740150905
Gregorc L.,1547.1942864738744,1500.0,1541.599676818246,1472.1932936913595
Virtanen O.,1546.888993856664,1486.8451666836115,1484.6141533804266,1505.9680853013676
Holmgren A.,1546.8489246692745,1500.0,1486.0748036983427,1552.3605650434595
Clement A.,1546.3831538076925,1464.6272121244165,1521.9192101961362,1529.169483620687
Robredo T.,1546.2543305896704,1547.3464778736648,1625.5840592639079,1579.2241288223743
Tomic B.,1545.995114249247,1427.0054551696062,1573.4295204648176,1599.1702567254135
Gerasimov E.,1545.8012253853726,1468.3777745398934,1509.3618192525605,1523.352688678357
Klein L.,1545.0840159829727,1496.6474428021768,1529.4049734675739,1464.3139855090064
Nieminen J.,1545.031806129087,1542.1501026269336,1544.7102698544704,1509.1227168152602
Haase R.,1543.880785077795,1501.4178901075588,1554.1023101799776,1542.8756383438379
De Chaunac S.,1543.793110505074,1500.0,1539.7230159953128,1500.0
Collignon R.,1543.0473647712308,1471.7068566902194,1553.3045989011148,1492.1820402572675
Cervenak P.,1542.8320190800366,1528.439566056236,1490.9059684668441,1500.0
Ouanna J.,1542.5750594858648,1493.4314061592531,1497.6160771238249,1500.0
Gaubas V.,1542.1961280851065,1526.008602220671,1500.0,1500.0
Labadze I.,1542.0832973775673,1466.3829648278438,1413.9971954724138,1516.6871365271552
Haas T.,1541.7561783973879,1609.527741515721,1584.043902308163,1657.266905190084
Montanes A.,1541.590066402047,1573.3041613984735,1395.7681328665478,1435.3556885803278
Diaz Acosta F.,1541.581386281273,1550.4376832893138,1499.029618657646,1481.8720301692988
Van Der Merwe I.,1541.303646731624,1500.0,1507.5946246661308,1521.5016243483435
Jeanpierre J.,1541.2703514397049,1514.655655844974,1508.379751886775,1500.0
Carballes Baena R.,1540.855902101442,1538.566064087875,1542.2061543869497,1407.5188304112885
Meligeni F.,1539.6118415640399,1517.1088715134877,1508.3002735086127,1469.0918452227445
Del Bonis F.,1539.609161991793,1539.2249426469152,1481.123082059847,1500.0
Ginepri R.,1539.6024955993864,1527.3178990577198,1483.4450716216265,1458.8348075336971
Phau B.,1539.47454514102,1481.1750529158144,1503.4087865680365,1354.8056034157403
Taberner C.,1539.4593263372456,1501.495765176376,1493.7885601306427,1465.4911717483417
Rocha H.,1538.6566109444311,1512.3212206787384,1500.0,1500.0
Groth S.,1538.6144405439538,1496.7133454039713,1460.357819896216,1556.3758672717854
Etlis G.,1538.5839023533074,1491.3339111687599,1531.1401462843576,1500.0
Alund M.,1537.3218774155796,1527.5431260047299,1500.0,1490.5395107300192
Peniston R.,1536.904713855013,1500.0,1481.709534310867,1501.8286215374928
Mirnyi M.,1536.5913195075539,1460.2574139658236,1529.0652321343143,1644.870749719746
Cuevas P.,1535.755717280795,1556.5075434752348,1493.5654115883738,1451.2757602001889
Wang J.,1535.6781791636406,1499.229256772277,1490.620721073193,1527.8860198570783
Lajal M.,1535.36491494571,1500.0,1490.3331440827437,1520.5661160455256
Pella G.,1535.1437202093878,1522.903604886428,1519.4123221517652,1569.9741446540702
Zhang Zh.,1534.0007431865083,1611.5860542366233,1470.3131180758985,1510.589796358351
Petzschner P.,1533.9022818208518,1454.7977293083127,1543.1535067783975,1611.1332745510251
Gasquet R.,1533.6249219402912,1524.6501075475962,1522.5144995214764,1567.9655651353967
Decoud S.,1533.582246551997,1539.0751430628711,1500.0,1480.2525641542652
Widom T.,1533.3545566630887,1500.0,1523.9510043562952,1500.0
Ancic I.,1532.7091007503916,1500.0,1500.0,1538.1142233498572
Wessels P.,1531.6641970537835,1478.6538006450096,1446.0109247053554,1539.5069652141626
Hijikata R.,1531.6604400410276,1424.875845431066,1554.7560875514537,1472.9123134174872
Greul S.,1531.6197825966503,1486.0490698049925,1466.958008800851,1454.68942437148
Bu Y.,1531.2428811018299,1438.7929507886663,1545.3296856785994,1457.861107733213
