winrate_diff,odds_diff,matches_diff,rank_diff,a_wins
-0.275,-0.4001142857142863,-2.0,0.0,0
-0.19999999999999996,0.1251,0.0,0.0,1
0.19999999999999996,-0.1251,0.0,0.0,0
-0.2888888888888889,-0.2792499999999998,-1.0,0.0,1
0.2888888888888889,0.2792499999999998,1.0,0.0,0
-0.09999999999999998,0.41123809523809296,0.0,0.0,1
0.09999999999999998,-0.41123809523809296,0.0,0.0,0
0.15555555555555556,-0.7938333333333341,1.0,0.0,1
-0.15555555555555556,0.7938333333333341,-1.0,0.0,0
0.0535714285714286,-0.47516666666666607,1.0,0.0,1
-0.0535714285714286,0.47516666666666607,-1.0,0.0,0
-0.033333333333333326,-0.06725000000000048,1.0,0.0,1
0.033333333333333326,0.06725000000000048,-1.0,0.0,0
0.19999999999999996,-0.627444444444444,0.0,0.0,1
-0.19999999999999996,0.627444444444444,0.0,0.0,0
-0.09999999999999998,-0.5124444444444443,0.0,0.0,1
0.09999999999999998,0.5124444444444443,0.0,0.0,0
0.44999999999999996,-2.576821428571427,2.0,0.0,1
-0.44999999999999996,2.576821428571427,-2.0,0.0,0
0.10000000000000009,-0.24249999999999972,0.0,0.0,1
-0.10000000000000009,0.24249999999999972,0.0,0.0,0
0.09999999999999998,-0.7471222222222229,0.0,0.0,1
-0.09999999999999998,0.7471222222222229,0.0,0.0,0
0.19999999999999996,-1.202107142857142,0.0,0.0,1
-0.19999999999999996,1.202107142857142,0.0,0.0,0
0.10000000000000003,-0.8860000000000001,0.0,0.0,1
-0.10000000000000003,0.8860000000000001,0.0,0.0,0
-0.05555555555555558,2.311111111111111,5.0,0.0,1
0.05555555555555558,-2.311111111111111,-5.0,0.0,0
-0.4,0.046555555555555905,0.0,0.0,1
0.4,-0.046555555555555905,0.0,0.0,0
-0.22499999999999998,2.9524583333333334,-2.0,0.0,1
0.22499999999999998,-2.9524583333333334,2.0,0.0,0
0.0,0.16819999999999924,0.0,0.0,1
0.0,-0.16819999999999924,0.0,0.0,0
-0.10000000000000009,-0.08502380952380895,0.0,0.0,1
0.10000000000000009,0.08502380952380895,0.0,0.0,0
0.29999999999999993,-0.14966666666666706,0.0,0.0,1
-0.29999999999999993,0.14966666666666706,0.0,0.0,0
0.10000000000000009,0.7905142857142848,0.0,0.0,1
-0.10000000000000009,-0.7905142857142848,0.0,0.0,0
-0.09999999999999998,-0.6556825396825394,0.0,0.0,1
0.09999999999999998,0.6556825396825394,0.0,0.0,0
-0.4,0.29550000000000143,0.0,0.0,1
0.4,-0.29550000000000143,0.0,0.0,0
0.15000000000000002,-1.9018571428571427,2.0,0.0,1
-0.15000000000000002,1.9018571428571427,-2.0,0.0,0
0.3,-0.9595999999999987,0.0,0.0,1
