player,elo_global,elo_clay,elo_hard,elo_grass
Cibulkova D.,1703.7110288967622,1612.506751798714,1692.447921929938,1701.2746754515567
Kudermetova V.,1702.9787942573757,1627.2688736923883,1641.947834576453,1586.359692245735
Haddad Maia B.,1701.5407836954544,1614.3063307317248,1622.6730341278128,1629.9020195146852
Safina D.,1697.731181322741,1725.0752268194115,1669.8656034641867,1686.7869444381467
Siniakova K.,1694.7681090381761,1518.0804404376647,1653.3417870938592,1606.0585627555095
Radwanska A.,1691.7867300282853,1663.0502490592337,1655.6494062668157,1736.10640819503
Groth J.,1690.7615632371203,1583.494523930865,1602.8674348749778,1575.0722787454993
Jabeur O.,1690.6573376853419,1705.8078343969366,1689.3997310452735,1694.5870019339177
Bouzas Maneiro J.,1681.0946981623467,1542.3072921741318,1570.2846033447715,1595.206862800612
Giorgi C.,1681.0856157160172,1576.1651372428107,1663.3750290172038,1600.8607110580979
Golovin T.,1679.3822436703213,1561.3458964340161,1645.5320910639543,1501.4912118876753
Kartal S.,1674.5895655635609,1501.198748474855,1603.2974051121903,1573.573740740299
Kasatkina D.,1670.0005707833411,1681.031337282757,1644.1400234531513,1640.509534327529
Danilovic O.,1669.419435651539,1667.3884530020737,1537.550156665994,1459.259844794556
Kerber A.,1668.85611045486,1642.5053064929032,1693.735376256491,1697.8041039973862
Pliskova Ka.,1668.1771156511586,1604.713108947131,1673.3401400533278,1635.7929080717256
Bucsa C.,1667.279445779385,1447.1182391844359,1627.8109950924422,1511.3549484623454
Pironkova T.,1665.5435127606122,1587.9908320782743,1587.3156102045104,1553.556025595284
Kenin S.,1665.2378611034856,1670.7012699464337,1614.0162377869751,1507.8267472075522
Kontaveit A.,1664.6457097130005,1648.5281312513205,1733.3911326482207,1548.1882231342756
Andreescu B.,1662.863946671992,1607.5737161229465,1603.7915606825015,1580.0662486836954
Bellis C.,1661.2842644939772,1540.8200804122043,1644.8198971233435,1519.7477641384462
Ostapenko J.,1657.4902456979494,1692.3534401392924,1595.9709683663925,1675.4302607744285
Jovic I.,1655.357693224385,1509.4074055681303,1630.977709754136,1468.6263997591034
Baptiste H.,1652.7120667795684,1564.5896720788332,1543.4868261699285,1510.0558443895177
Vekic D.,1652.1749748720408,1544.8024835174006,1628.3835630258131,1647.570375095321
Valentova T.,1650.8019194709009,1513.0684397837492,1620.7416320906996,1500.0
Blinkova A.,1650.1059013238926,1466.4733666898742,1631.6224393088175,1548.9610541333257
Kirilenko M.,1649.4001074978446,1591.0107864265715,1703.3542203655031,1550.5322629416607
Sakkari M.,1649.138263638791,1646.5785299127888,1618.257540743239,1583.8261118134142
Bertens K.,1648.3184180140454,1702.5334816026634,1752.8475828204007,1581.0583265126245
Vesnina E.,1646.1254274174325,1567.0415721273723,1607.6615403331566,1690.299179774255
Lucic-Baroni M.,1645.598087175056,1595.3155704679027,1624.1423706900582,1439.3655781680443
Frech M.,1644.9743719433839,1544.3614964388591,1606.4365483863887,1464.340904167995
Razzano V.,1642.1626648433723,1600.995879143411,1518.4231926902064,1462.5406289353973
Sramkova R.,1640.3827072444267,1519.499655808103,1597.0046754969528,1511.9888647732253
Muguruza G.,1638.75469281324,1680.7991489355372,1691.6815140590875,1613.017002921271
Sevastova A.,1638.3719336687452,1604.7903377928471,1598.0464684193814,1548.8808492600988
Suarez Navarro C.,1637.4806371525106,1652.7413823905456,1639.0727353419597,1590.2941645145834
Mattek B.,1635.890016356104,1480.5934410462335,1573.8862529076305,1607.6721864368385
Kuznetsova S.,1634.000210994442,1581.989765081366,1696.7443727809555,1535.4037604552232
Masarova R.,1633.3420499362219,1512.6012007626725,1567.201827229191,1475.8773406740768
Zhang S.,1632.7624332227008,1403.3672742981034,1633.9013766929131,1500.7464283469442
Ivanovic A.,1631.7545243772477,1718.4582467679568,1673.4612424347004,1604.7440717043146
Sun L.,1631.09228448789,1482.0071304280611,1572.42175147937,1552.8086614883425
