player,winrate_last10
Korolev E.,0.5129032258064516
Korolev E. ,0.35
Kosakowski D.,0.375
Kotov P.,0.4552331349206349
Koubek S.,0.5031746031746032
Kovacevic A.,0.35
Kovalik J.,0.4521367521367521
Kozlov S.,0.5925925925925926
Krajan Z.,0.35
Krajicek A.,0.4225885225885226
Krajicek R.,0.6049382716049383
Krajinovic F.,0.5283602150537634
Krall L.,0.4444444444444444
Kratochvil M.,0.5015432098765432
Kravchuk K.,0.35
Kroslak J.,0.35
Krstin P.,0.35
Krueger M.,0.35
Kubler J.,0.35
Kubot L.,0.38290598290598293
Kucera K.,0.6361111111111111
Kudla D.,0.3626984126984127
Kudryavtsev A.,0.38095238095238093
Kuerten G.,0.6240196078431373
Kuhn N.,0.5555555555555556
Kukushkin M.,0.3902006172839506
Kumar O.,0.35
Kunitsyn I.,0.35
Kunitsyn I. ,0.35
Kutsenko V.,0.35
Kuzmanov D.,0.35
Kuznetsov A.,0.35
Kuznetsov Al.,0.35
Kuznetsov An.,0.3564935064935065
Kwiatkowski T.S.,0.5555555555555556
Kwon S.W.,0.4887301587301587
Kypson P.,0.48148148148148145
Kyrgios N.,0.6573148148148148
Laaksonen H.,0.41388888888888886
Labadze I.,0.35
Lacko L.,0.3877777777777778
Lajovic D.,0.42444444444444446
Lama G.,0.4444444444444444
Lamasine T.,0.4583333333333333
Lammer M.,0.48571428571428565
Lammer M. ,0.6904761904761905
Landaluce M.,0.7142857142857143
Lapentti G.,0.6147959183673469
Lapentti N.,0.37092592592592594
Larose S.,0.4444444444444444
Larsson M.,0.6071428571428571
Lazarov A.,0.625
Lazov A.,0.5
Ledovskikh M.,0.4285714285714285
Lee H.T.,0.505021164021164
Lee M.,0.35
Lehecka J.,0.6059523809523809
Lemke J.,0.5555555555555556
Leshem E.,0.625
Lestienne C.,0.40939153439153436
Levine J.,0.35
Levy H.,0.43809523809523804
Li Z.,0.35185185185185186
Lindahl N.,0.35
Lisnard J.,0.35
Lisnard J.R.,0.3837301587301587
Ljubicic I.,0.60969868173258
Ljubicic I. ,0.5555555555555556
Llamas Ruiz P.,0.5
Llodra M.,0.43937014522120904
Lokoli L.,0.5555555555555556
Londero J.I.,0.35
Lopez F.,0.4918207908163265
Lopez F. ,0.35
Lopez M.,0.375
Lorenzi P.,0.35
Lu Y.,0.4444444444444444
Lu Y.H.,0.3976372924648786
Luczak P.,0.35
Luczak P. ,0.35
Luzzi F.,0.35
Maamoun K.,0.4285714285714285
Machac T.,0.5362301587301588
Machado R.,0.35
Maden Y.,0.35
Maestrelli F.,0.35
Mager G.,0.35
Mahut N.,0.3504273504273504
Majchrzak K.,0.3718518518518518
Malisse X.,0.5348444444444445
Mamiit C.,0.46488888888888885
Mankad H.,0.35
Mannarino A.,0.44179662118258606
Mansouri S.,0.4444444444444444
Mantilla F.,0.5073333333333333
Marach O.,0.5185185185185185
Marcaccio G.,0.5
Marcan D.,0.5714285714285714
Marchenko I.,0.48576548899129546
Marcora R.,0.4722222222222222
Marozsan F.,0.5887962962962963
Marray J.,0.5555555555555556
Martelli M.,0.5
Marterer M.,0.4063492063492063
Marti J.,0.35
Martin A.,0.35
Martin A. ,0.35
Martin T.,0.41909722222222223
Martineau M.,0.5555555555555556
Martinez P.,0.3921652421652422
Massa E.,0.38888888888888884
Massu N.,0.41435185185185186
Mathieu P.H.,0.48986568986568985
Mathieu P.H. ,0.6666666666666666
Matosevic M.,0.48055555555555557
Mayer F.,0.42766439909297055
Mayer L.,0.40515873015873016
Mayer L. ,0.6111111111111112
Mayot H.,0.5892857142857143
Mazarakis V.,0.4285714285714285
McDonald M.,0.35
Mccabe J.,0.35
Mcdonald M.,0.44060019841269843
